WL	QE	DSig	MSig	Mcorr	RPI	DSD	M SD	R SD	GC	ver. 1.4.1.56090
475.0	6.4830E+1	4.9250E-1	2.3598E-1	1.0053E+0	7.6770E-3	0.426	0.409	0.018	A-B-D-3-0
480.0	6.6945E+1	5.0058E-1	2.3984E-1	1.0050E+0	7.5522E-3	0.257	0.246	0.011	A-B-D-3-0
485.0	6.8862E+1	5.1020E-1	2.4462E-1	9.9882E-1	7.3916E-3	0.534	0.511	0.023	A-B-D-3-0
490.0	7.0824E+1	5.1187E-1	2.4571E-1	9.9964E-1	7.2221E-3	0.469	0.458	0.011	A-B-D-3-0
495.0	7.2603E+1	5.0381E-1	2.4234E-1	9.9899E-1	6.9253E-3	0.140	0.129	0.012	A-B-D-3-2
500.0	7.4267E+1	5.0762E-1	2.4483E-1	1.0008E+0	6.8454E-3	0.293	0.282	0.011	A-B-D-3-1
505.0	7.5810E+1	5.1289E-1	2.4816E-1	1.0022E+0	6.7956E-3	0.463	0.447	0.016	A-B-D-3-0
510.0	7.7288E+1	5.2143E-1	2.5318E-1	9.9786E-1	6.7178E-3	0.010	0.015	0.005	A-B-D-2-0
515.0	7.8519E+1	5.2387E-1	2.5547E-1	1.0021E+0	6.7003E-3	0.298	0.287	0.010	A-B-D-3-0
520.0	7.9818E+1	5.2937E-1	2.5913E-1	9.9732E-1	6.5967E-3	0.032	0.030	0.004	A-B-D-3-1
525.0	8.0931E+1	5.2900E-1	2.5975E-1	9.9886E-1	6.5215E-3	0.103	0.097	0.006	A-B-D-3-1
530.0	8.1949E+1	5.2820E-1	2.6022E-1	9.9938E-1	6.4376E-3	0.253	0.246	0.009	A-B-D-3-0
535.0	8.3030E+1	5.2824E-1	2.6107E-1	9.9964E-1	6.3574E-3	0.184	0.172	0.013	A-B-D-3-0
540.0	8.3797E+1	5.2195E-1	2.5908E-1	1.0034E+0	6.2709E-3	0.258	0.249	0.009	A-B-D-3-0
545.0	8.4583E+1	5.1111E-1	2.5499E-1	1.0046E+0	6.0989E-3	0.102	0.098	0.004	A-B-D-3-0
550.0	8.5329E+1	4.9951E-1	2.5067E-1	9.9935E-1	5.8464E-3	0.361	0.344	0.017	A-B-D-3-1
555.0	8.5971E+1	4.8313E-1	2.4362E-1	9.9921E-1	5.6108E-3	0.211	0.212	0.001	B-B-D-3-1
560.0	8.6661E+1	4.6361E-1	2.3534E-1	1.0016E+0	5.3666E-3	0.357	0.364	0.008	B-B-D-3-1
565.0	8.7231E+1	4.4283E-1	2.2644E-1	1.0036E+0	5.1131E-3	0.008	0.007	0.002	B-B-D-2-0
570.0	8.7579E+1	4.2193E-1	2.1788E-1	9.9658E-1	4.7849E-3	0.133	0.125	0.008	B-B-D-3-0
575.0	8.7612E+1	5.2774E-1	2.7772E-1	9.9513E-1	5.9651E-3	0.215	0.213	0.003	A-B-D-3-0
580.0	8.8106E+1	5.2405E-1	2.7568E-1	1.0010E+0	5.9601E-3	0.167	0.160	0.007	A-B-D-3-0
585.0	8.8595E+1	5.2487E-1	2.7494E-1	9.9670E-1	5.8854E-3	0.185	0.169	0.017	A-B-D-3-1
590.0	8.9042E+1	5.2061E-1	2.7183E-1	9.9741E-1	5.8165E-3	0.287	0.273	0.014	A-B-D-3-0
595.0	8.9233E+1	5.1620E-1	2.6954E-1	9.9667E-1	5.7463E-3	0.459	0.436	0.024	A-B-D-3-1
600.0	8.9524E+1	5.0922E-1	2.6685E-1	1.0020E+0	5.7111E-3	0.169	0.163	0.012	A-B-D-3-1
605.0	8.9368E+1	3.9922E-1	3.1584E-1	9.9564E-1	4.4282E-3	0.127	0.133	0.006	B-B-D-3-2
610.0	8.9653E+1	4.1353E-1	3.2625E-1	9.9951E-1	4.6080E-3	0.290	0.321	0.031	B-B-D-3-0
615.0	8.9797E+1	4.2875E-1	3.3742E-1	9.9169E-1	4.6956E-3	0.141	0.146	0.005	B-B-D-3-1
620.0	8.9902E+1	4.4009E-1	3.4478E-1	9.9626E-1	4.8587E-3	0.254	0.268	0.013	B-B-D-3-0
625.0	9.0074E+1	4.5354E-1	3.5179E-1	9.9502E-1	4.9852E-3	0.195	0.208	0.013	B-B-D-3-0
630.0	9.0431E+1	4.5567E-1	3.5677E-1	9.9690E-1	5.0077E-3	0.490	0.524	0.034	B-B-D-3-1
635.0	9.0398E+1	4.3676E-1	3.5640E-1	9.9758E-1	4.8081E-3	0.099	0.108	0.009	B-B-D-3-0
640.0	9.0325E+1	4.2380E-1	3.6155E-1	9.9307E-1	4.6272E-3	0.125	0.128	0.005	B-B-D-3-1
645.0	9.0196E+1	4.0978E-1	3.6552E-1	9.9518E-1	4.4995E-3	0.095	0.104	0.009	B-B-D-3-1
650.0	9.0136E+1	3.8428E-1	3.5628E-1	9.9871E-1	4.2523E-3	0.119	0.124	0.005	B-B-D-3-0
655.0	8.9992E+1	3.7208E-1	3.5567E-1	9.9297E-1	4.0767E-3	0.226	0.251	0.026	B-B-D-3-1
660.0	8.9944E+1	3.7157E-1	3.6034E-1	1.0009E+0	4.1382E-3	0.073	0.077	0.007	B-B-D-3-1
665.0	8.9865E+1	3.8062E-1	3.6837E-1	9.9215E-1	4.1692E-3	0.093	0.100	0.007	B-B-D-3-0
670.0	8.9782E+1	3.9104E-1	3.7264E-1	9.9714E-1	4.3306E-3	0.278	0.300	0.023	B-B-D-3-0
675.0	8.9786E+1	4.1568E-1	3.8604E-1	9.9389E-1	4.5733E-3	0.428	0.468	0.040	B-B-D-3-0
680.0	8.9642E+1	4.4572E-1	4.0285E-1	9.9163E-1	4.8893E-3	0.227	0.256	0.029	B-B-D-3-1
685.0	8.9751E+1	4.5343E-1	3.9816E-1	9.9200E-1	4.9716E-3	0.245	0.271	0.026	B-B-D-3-1
690.0	8.9624E+1	4.4515E-1	3.8132E-1	9.8588E-1	4.8276E-3	0.158	0.170	0.012	B-B-D-3-0
695.0	8.9655E+1	4.3472E-1	3.6385E-1	9.9442E-1	4.7948E-3	0.343	0.368	0.025	B-B-D-3-0
700.0	8.9609E+1	4.3649E-1	3.5900E-1	9.9818E-1	4.8534E-3	0.416	0.451	0.035	B-B-D-3-1
705.0	8.9547E+1	4.6120E-1	3.7417E-1	9.9605E-1	5.1098E-3	0.333	0.355	0.022	B-B-D-3-0
710.0	8.9373E+1	4.8429E-1	3.8938E-1	9.9316E-1	5.3449E-3	0.132	0.148	0.016	B-B-D-3-0
715.0	8.9175E+1	4.6473E-1	3.7062E-1	9.9965E-1	5.2079E-3	1.278	1.244	0.036	B-B-D-3-1
720.0	8.9020E+1	4.4549E-1	3.5327E-1	1.0195E+0	5.2014E-3	0.514	0.540	0.026	B-B-D-3-1
725.0	8.9024E+1	4.8533E-1	3.8339E-1	1.0117E+0	5.5802E-3	0.327	0.353	0.026	M-B-D-3-1
730.0	8.8796E+1	5.1261E-1	4.0461E-1	9.9291E-1	5.6913E-3	0.354	0.333	0.021	A-B-D-3-0
735.0	8.8803E+1	4.8741E-1	3.8330E-1	9.8893E-1	5.3678E-3	0.273	0.293	0.020	B-B-D-3-0
740.0	8.8607E+1	4.7901E-1	3.7671E-1	9.8759E-1	5.2726E-3	0.092	0.101	0.013	B-B-D-3-1
745.0	8.8422E+1	4.6835E-1	3.6850E-1	9.8562E-1	5.1455E-3	0.223	0.231	0.008	B-B-D-3-0
750.0	8.8169E+1	4.5244E-1	3.5664E-1	9.8702E-1	4.9991E-3	0.133	0.141	0.009	B-B-D-3-0
755.0	8.8016E+1	4.8833E-1	3.8653E-1	9.9393E-1	5.4810E-3	0.218	0.283	0.097	M-B-D-3-1
760.0	8.7864E+1	6.1210E-1	4.8689E-1	9.8544E-1	6.7651E-3	0.225	0.283	0.058	A-M-D-3-0
765.0	8.7633E+1	4.5734E-1	3.6432E-1	9.7554E-1	4.9666E-3	0.044	0.119	0.098	M-B-D-3-0
770.0	8.7496E+1	3.7615E-1	3.0060E-1	9.8027E-1	4.1311E-3	0.467	0.498	0.031	B-B-D-3-1
775.0	8.7168E+1	3.5218E-1	2.8280E-1	9.8703E-1	3.9362E-3	0.182	0.181	0.007	B-B-D-3-0
780.0	8.6980E+1	3.5609E-1	2.8744E-1	9.9086E-1	4.0194E-3	0.305	0.324	0.019	B-B-D-3-1
785.0	8.6665E+1	3.8954E-1	3.1637E-1	9.8944E-1	4.4003E-3	0.115	0.119	0.007	B-B-D-3-0
790.0	8.6522E+1	3.7718E-1	3.0767E-1	9.9032E-1	4.2754E-3	0.050	0.049	0.004	B-B-D-3-1
795.0	8.6165E+1	3.7939E-1	3.1107E-1	9.8497E-1	4.2718E-3	0.248	0.269	0.023	B-B-D-3-1
800.0	8.5954E+1	3.5628E-1	2.9306E-1	9.8968E-1	4.0599E-3	0.218	0.231	0.014	B-B-D-3-0
805.0	8.5597E+1	3.6378E-1	3.0017E-1	9.9396E-1	4.1987E-3	0.133	0.145	0.013	B-B-D-3-0
810.0	8.5356E+1	4.4727E-1	3.7014E-1	1.0186E+0	5.4368E-3	0.138	0.148	0.012	B-B-D-3-0
815.0	8.5011E+1	1.3330E+0	1.1119E+0	1.0480E+0	1.7221E-2	0.067	0.076	0.009	A-A-D-3-0
820.0	8.4860E+1	2.3448E+0	1.9595E+0	9.8342E-1	2.6723E-2	0.190	0.201	0.012	A-A-D-3-1
